n,area_type,y,value
Afghanistan,city,2011,0.3059
Afghanistan,city,2012,0.3032684210526316
Afghanistan,city,2013,0.30063684210526315
Afghanistan,city,2014,0.2980052631578947
Afghanistan,city,2015,0.29537368421052634
Afghanistan,city,2016,0.2927421052631579
Afghanistan,city,2017,0.2901105263157895
Afghanistan,city,2018,0.28747894736842106
Afghanistan,city,2019,0.2848473684210526
Afghanistan,city,2020,0.2822157894736842
Afghanistan,city,2021,0.2795842105263158
Afghanistan,city,2022,0.2769526315789474
Afghanistan,city,2023,0.27432105263157897
Afghanistan,city,2024,0.27168947368421054
Afghanistan,city,2025,0.2690578947368421
Afghanistan,city,2026,0.2664263157894737
Afghanistan,city,2027,0.2637947368421053
Afghanistan,city,2028,0.2611631578947369
Afghanistan,city,2029,0.25853157894736845
Afghanistan,city,2030,0.2559
Afghanistan,city,2031,0.25415000000000004
Afghanistan,city,2032,0.2524
Afghanistan,city,2033,0.25065000000000004
Afghanistan,city,2034,0.2489
Afghanistan,city,2035,0.24715
Afghanistan,city,2036,0.2454
Afghanistan,city,2037,0.24365
Afghanistan,city,2038,0.2419
Afghanistan,city,2039,0.24015
Afghanistan,city,2040,0.2384
Afghanistan,city,2041,0.23665000000000003
Afghanistan,city,2042,0.2349
Afghanistan,city,2043,0.23315000000000002
Afghanistan,city,2044,0.23140000000000002
Afghanistan,city,2045,0.22965000000000002
Afghanistan,city,2046,0.22790000000000002
Afghanistan,city,2047,0.22615000000000002
Afghanistan,city,2048,0.22440000000000002
Afghanistan,city,2049,0.22265000000000001
Afghanistan,city,2050,0.2209
Afghanistan,city,2051,0.2209
Afghanistan,city,2052,0.2209
Afghanistan,city,2053,0.2209
Afghanistan,city,2054,0.2209
Afghanistan,city,2055,0.2209
Afghanistan,city,2056,0.2209
Afghanistan,city,2057,0.2209
Afghanistan,city,2058,0.2209
Afghanistan,city,2059,0.2209
Afghanistan,city,2060,0.2209
Afghanistan,city,2061,0.2209
Afghanistan,city,2062,0.2209
Afghanistan,city,2063,0.2209
Afghanistan,city,2064,0.2209
Afghanistan,city,2065,0.2209
Afghanistan,city,2066,0.2209
Afghanistan,city,2067,0.2209
Afghanistan,city,2068,0.2209
Afghanistan,city,2069,0.2209
Afghanistan,city,2070,0.2209
Afghanistan,city,2071,0.2209
Afghanistan,city,2072,0.2209
Afghanistan,city,2073,0.2209
Afghanistan,city,2074,0.2209
Afghanistan,city,2075,0.2209
Afghanistan,city,2076,0.2209
Afghanistan,city,2077,0.2209
Afghanistan,city,2078,0.2209
Afghanistan,city,2079,0.2209
Afghanistan,city,2080,0.2209
Afghanistan,city,2081,0.2209
Afghanistan,city,2082,0.2209
Afghanistan,city,2083,0.2209
Afghanistan,city,2084,0.2209
Afghanistan,city,2085,0.2209
Afghanistan,city,2086,0.2209
Afghanistan,city,2087,0.2209
Afghanistan,city,2088,0.2209
Afghanistan,city,2089,0.2209
Afghanistan,city,2090,0.2209
Afghanistan,city,2091,0.2209
Afghanistan,city,2092,0.2209
Afghanistan,city,2093,0.2209
Afghanistan,city,2094,0.2209
Afghanistan,city,2095,0.2209
Afghanistan,city,2096,0.2209
Afghanistan,city,2097,0.2209
Afghanistan,city,2098,0.2209
Afghanistan,city,2099,0.2209
Afghanistan,city,2100,0.2209
Afghanistan,large_city,2011,0.57
Afghanistan,large_city,2012,0.5752631578947368
Afghanistan,large_city,2013,0.5805263157894737
Afghanistan,large_city,2014,0.5857894736842105
Afghanistan,large_city,2015,0.5910526315789473
Afghanistan,large_city,2016,0.5963157894736841
Afghanistan,large_city,2017,0.601578947368421
Afghanistan,large_city,2018,0.6068421052631578
Afghanistan,large_city,2019,0.6121052631578947
Afghanistan,large_city,2020,0.6173684210526316
Afghanistan,large_city,2021,0.6226315789473683
Afghanistan,large_city,2022,0.6278947368421052
Afghanistan,large_city,2023,0.633157894736842
Afghanistan,large_city,2024,0.6384210526315789
Afghanistan,large_city,2025,0.6436842105263157
Afghanistan,large_city,2026,0.6489473684210526
Afghanistan,large_city,2027,0.6542105263157894
Afghanistan,large_city,2028,0.6594736842105262
Afghanistan,large_city,2029,0.6647368421052631
Afghanistan,large_city,2030,0.6699999999999999
Afghanistan,large_city,2031,0.6735
Afghanistan,large_city,2032,0.6769999999999999
Afghanistan,large_city,2033,0.6804999999999999
Afghanistan,large_city,2034,0.6839999999999999
Afghanistan,large_city,2035,0.6875
Afghanistan,large_city,2036,0.691
Afghanistan,large_city,2037,0.6944999999999999
Afghanistan,large_city,2038,0.698
Afghanistan,large_city,2039,0.7015
Afghanistan,large_city,2040,0.705
Afghanistan,large_city,2041,0.7084999999999999
Afghanistan,large_city,2042,0.712
Afghanistan,large_city,2043,0.7155
Afghanistan,large_city,2044,0.719
Afghanistan,large_city,2045,0.7224999999999999
Afghanistan,large_city,2046,0.726
Afghanistan,large_city,2047,0.7295
Afghanistan,large_city,2048,0.733
Afghanistan,large_city,2049,0.7364999999999999
Afghanistan,large_city,2050,0.74
Afghanistan,large_city,2051,0.74
Afghanistan,large_city,2052,0.74
Afghanistan,large_city,2053,0.74
Afghanistan,large_city,2054,0.74
Afghanistan,large_city,2055,0.74
Afghanistan,large_city,2056,0.74
Afghanistan,large_city,2057,0.74
Afghanistan,large_city,2058,0.74
Afghanistan,large_city,2059,0.74
Afghanistan,large_city,2060,0.74
Afghanistan,large_city,2061,0.74
Afghanistan,large_city,2062,0.74
Afghanistan,large_city,2063,0.74
Afghanistan,large_city,2064,0.74
Afghanistan,large_city,2065,0.74
