mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,7.277445976556967
ldv_share,Afghanistan,city,02_05,2011,191.73022597656717
ldv_share,Afghanistan,city,06_10,2011,351.96202710002524
ldv_share,Afghanistan,city,11_20,2011,433.3586972774651
ldv_share,Afghanistan,city,21_30,2011,288.1439729153613
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,7.910825254491437
ldv_share,Afghanistan,city,02_05,2012,203.951036479131
ldv_share,Afghanistan,city,06_10,2012,374.8229533597132
ldv_share,Afghanistan,city,11_20,2012,461.19789853866615
ldv_share,Afghanistan,city,21_30,2012,305.8521288480644
ldv_share,Afghanistan,city,00_01,2013,8.447643857862953
ldv_share,Afghanistan,city,02_05,2013,213.25439349086585
ldv_share,Afghanistan,city,06_10,2013,392.3639757287302
ldv_share,Afghanistan,city,11_20,2013,482.46107279521055
ldv_share,Afghanistan,city,21_30,2013,319.1207273772575
ldv_share,Afghanistan,city,00_01,2014,8.986128910983133
ldv_share,Afghanistan,city,02_05,2014,222.25215983106006
ldv_share,Afghanistan,city,06_10,2014,409.37743599264365
ldv_share,Afghanistan,city,11_20,2014,503.05052310086825
ldv_share,Afghanistan,city,21_30,2014,331.87857113702813
ldv_share,Afghanistan,city,00_01,2015,9.486673164701111
ldv_share,Afghanistan,city,02_05,2015,230.0058096810225
ldv_share,Afghanistan,city,06_10,2015,424.1304331713213
ldv_share,Afghanistan,city,11_20,2015,520.839842432507
ldv_share,Afghanistan,city,21_30,2015,342.7306504592965
ldv_share,Afghanistan,city,00_01,2016,9.982182996426841
ldv_share,Afghanistan,city,02_05,2016,237.3729355100619
ldv_share,Afghanistan,city,06_10,2016,438.19815673435244
ldv_share,Afghanistan,city,11_20,2016,537.7678608153647
ldv_share,Afghanistan,city,21_30,2016,352.9644300076923
ldv_share,Afghanistan,city,00_01,2017,10.530061839754289
ldv_share,Afghanistan,city,02_05,2017,245.71754360839432
ldv_share,Afghanistan,city,06_10,2017,454.0987155298822
ldv_share,Afghanistan,city,11_20,2017,556.9247868435045
ldv_share,Afghanistan,city,21_30,2017,364.6079668994551
ldv_share,Afghanistan,city,00_01,2018,11.083837183323224
ldv_share,Afghanistan,city,02_05,2018,253.9240820727614
ldv_share,Afghanistan,city,06_10,2018,469.77387155742014
ldv_share,Afghanistan,city,11_20,2018,575.7839029793154
ldv_share,Afghanistan,city,21_30,2018,376.0007722755412
ldv_share,Afghanistan,city,00_01,2019,11.72136630103439
ldv_share,Afghanistan,city,02_05,2019,263.7547283964659
ldv_share,Afghanistan,city,06_10,2019,488.48611498744077
ldv_share,Afghanistan,city,11_20,2019,598.3422243969021
ldv_share,Afghanistan,city,21_30,2019,389.74856850179856
ldv_share,Afghanistan,city,00_01,2020,12.278051106165568
ldv_share,Afghanistan,city,02_05,2020,271.488139701586
ldv_share,Afghanistan,city,06_10,2020,503.34530893264196
ldv_share,Afghanistan,city,11_20,2020,616.1586771901648
ldv_share,Afghanistan,city,21_30,2020,400.3493251615167
ldv_share,Afghanistan,city,00_01,2025,17.66624858846814
ldv_share,Afghanistan,city,02_05,2025,360.05091450932986
ldv_share,Afghanistan,city,06_10,2025,671.0262879739529
ldv_share,Afghanistan,city,11_20,2025,818.9282353847677
ldv_share,Afghanistan,city,21_30,2025,525.5799202856406
ldv_share,Afghanistan,city,00_01,2030,24.111205419123525
ldv_share,Afghanistan,city,02_05,2030,456.8644177285948
ldv_share,Afghanistan,city,06_10,2030,855.7262981975224
ldv_share,Afghanistan,city,11_20,2030,1041.2987665778523
ldv_share,Afghanistan,city,21_30,2030,660.3237722524211
ldv_share,Afghanistan,city,00_01,2035,35.26734194015982
ldv_share,Afghanistan,city,02_05,2035,625.7519078823747
ldv_share,Afghanistan,city,06_10,2035,1177.7097113941236
ldv_share,Afghanistan,city,11_20,2035,1429.1045210397065
ldv_share,Afghanistan,city,21_30,2035,895.7164384226361
ldv_share,Afghanistan,city,00_01,2040,50.36174353229175
ldv_share,Afghanistan,city,02_05,2040,841.8066287346226
ldv_share,Afghanistan,city,06_10,2040,1591.6892478867383
ldv_share,Afghanistan,city,11_20,2040,1926.2708019067022
ldv_share,Afghanistan,city,21_30,2040,1193.657049245087
ldv_share,Afghanistan,city,00_01,2045,70.22625846160378
ldv_share,Afghanistan,city,02_05,2045,1111.5489681228996
ldv_share,Afghanistan,city,06_10,2045,2111.1064304440556
ldv_share,Afghanistan,city,11_20,2045,2548.283660952625
ldv_share,Afghanistan,city,21_30,2045,1561.6765063302803
ldv_share,Afghanistan,city,00_01,2050,95.68838393204668
ldv_share,Afghanistan,city,02_05,2050,1440.5646889796567
ldv_share,Afghanistan,city,06_10,2050,2747.76547661619
ldv_share,Afghanistan,city,11_20,2050,3308.556519652278
ldv_share,Afghanistan,city,21_30,2050,2005.7802823201193
ldv_share,Afghanistan,city,00_01,2055,120.61067245896403
ldv_share,Afghanistan,city,02_05,2055,1815.7635098306434
ldv_share,Afghanistan,city,06_10,2055,3463.4281432692665
ldv_share,Afghanistan,city,11_20,2055,4170.2786723531235
ldv_share,Afghanistan,city,21_30,2055,2528.1909748560465
ldv_share,Afghanistan,city,00_01,2060,148.80550545211756
ldv_share,Afghanistan,city,02_05,2060,2240.229669176163
ldv_share,Afghanistan,city,06_10,2060,4273.0644390662965
ldv_share,Afghanistan,city,11_20,2060,5145.1535180423525
ldv_share,Afghanistan,city,21_30,2060,3119.199389431604
ldv_share,Afghanistan,city,00_01,2065,179.9979720019123
ldv_share,Afghanistan,city,02_05,2065,2709.8244520259204
ldv_share,Afghanistan,city,06_10,2065,5168.780085982208
ldv_share,Afghanistan,city,11_20,2065,6223.675636679528
ldv_share,Afghanistan,city,21_30,2065,3773.0429573921483
ldv_share,Afghanistan,city,00_01,2070,213.58062557277802
ldv_share,Afghanistan,city,02_05,2070,3215.402902705801
ldv_share,Afghanistan,city,06_10,2070,6133.131789954108
ldv_share,Afghanistan,city,11_20,2070,7384.84173493883
ldv_share,Afghanistan,city,21_30,2070,4476.988635984292
ldv_share,Afghanistan,city,00_01,2075,248.94379232519984
ldv_share,Afghanistan,city,02_05,2075,3747.786534037851
ldv_share,Afghanistan,city,06_10,2075,7148.612298174754
ldv_share,Afghanistan,city,11_20,2075,8607.571507419512
ldv_share,Afghanistan,city,21_30,2075,5218.256694631597
ldv_share,Afghanistan,city,00_01,2080,285.12138874402154
ldv_share,Afghanistan,city,02_05,2080,4292.431200313343
ldv_share,Afghanistan,city,06_10,2080,8187.479780116813
