n,y,area_type,value
Bangladesh,2100,large_city,51.062798634107004
Bangladesh,2100,town,40.47660867337749
Bhutan,2011,city,0.08337565499999999
Bhutan,2011,large_city,0.10459854899999999
Bhutan,2011,town,0.064679296
Bhutan,2012,city,0.08607292863157896
Bhutan,2012,large_city,0.10910381153684211
Bhutan,2012,town,0.06669445983157896
Bhutan,2013,city,0.08877828915789474
Bhutan,2013,large_city,0.11369901148421052
Bhutan,2013,town,0.06871039935789473
Bhutan,2014,city,0.09148815126315789
Bhutan,2014,large_city,0.11838079427368421
Bhutan,2014,town,0.07072425446315789
Bhutan,2015,city,0.0929452696842105
Bhutan,2015,large_city,0.12150673343157892
Bhutan,2015,town,0.07176519688421051
Bhutan,2016,city,0.0956388394736842
Bhutan,2016,large_city,0.12631486105263157
Bhutan,2016,town,0.07375629947368421
Bhutan,2017,city,0.098328816
Bhutan,2017,large_city,0.1312014888
Bhutan,2017,town,0.0757388952
Bhutan,2018,city,0.09970201000000001
Bhutan,2018,large_city,0.134397328
Bhutan,2018,town,0.076702662
Bhutan,2019,city,0.10236332989473684
Bhutan,2019,large_city,0.13939625781052634
Bhutan,2019,town,0.07865281229473685
Bhutan,2020,city,0.10366640494736842
Bhutan,2020,large_city,0.1426120469052632
Bhutan,2020,town,0.07955474814736843
Bhutan,2025,city,0.1132467432448
Bhutan,2025,large_city,0.16386344639103997
Bhutan,2025,town,0.08635064172415999
Bhutan,2030,city,0.1224496898772
Bhutan,2030,large_city,0.18628411837055997
Bhutan,2030,town,0.09274058479224
Bhutan,2035,city,0.1323577602633
Bhutan,2035,large_city,0.20520922169748
Bhutan,2035,town,0.09997933295922001
Bhutan,2040,city,0.141143716809
Bhutan,2040,large_city,0.22300707255822
Bhutan,2040,town,0.10632826666278
Bhutan,2045,city,0.148534858219125
Bhutan,2045,large_city,0.23915360365365
Bhutan,2045,town,0.111588372477225
Bhutan,2050,city,0.15439512530539998
Bhutan,2050,large_city,0.25331268016208
Bhutan,2050,town,0.11566550065252
Bhutan,2055,city,0.1600857611622
Bhutan,2055,large_city,0.26264918102544
Bhutan,2055,town,0.11992865497236001
Bhutan,2060,city,0.1643454313209
Bhutan,2060,large_city,0.26963792799768
Bhutan,2060,town,0.12311979770142001
Bhutan,2065,city,0.16703798865
Bhutan,2065,large_city,0.27405554748
Bhutan,2065,town,0.12513693387000002
Bhutan,2070,city,0.168091944059
Bhutan,2070,large_city,0.2757847488968
Bhutan,2070,town,0.1259265072442
Bhutan,2075,city,0.16757999508819998
Bhutan,2075,large_city,0.27494480550064
Bhutan,2075,town,0.12554297937116002
Bhutan,2080,city,0.1657326586788
Bhutan,2080,large_city,0.27191392135776
Bhutan,2080,town,0.12415904260344
Bhutan,2085,city,0.16285388315429997
Bhutan,2085,large_city,0.26719077778536
Bhutan,2085,town,0.12200240060033998
Bhutan,2090,city,0.1593731383824
Bhutan,2090,large_city,0.26147999653248
Bhutan,2090,town,0.11939479180512
Bhutan,2095,city,0.1555126299212
Bhutan,2095,large_city,0.25514614536224
Bhutan,2095,town,0.11650268207655999
Bhutan,2100,city,0.15142453084800003
Bhutan,2100,large_city,0.24843889128960006
Bhutan,2100,town,0.11344007226240002
India,2011,city,90.82064308407999
India,2011,large_city,167.63862313744
India,2011,town,133.18263208431998
India,2012,city,92.56196357504527
India,2012,large_city,172.8929567907095
India,2012,town,135.98360591786528
India,2013,city,94.32058779777316
India,2013,large_city,178.28072090765372
India,2013,town,138.82226375880316
India,2014,city,96.07809074021053
India,2014,large_city,183.76959643957898
India,2014,town,141.67179150821053
India,2015,city,97.83548036743632
India,2015,large_city,189.36326397632737
India,2015,town,144.53388802666632
India,2016,city,99.6406131289516
India,2016,large_city,195.15729576449687
India,2016,town,147.4796095499116
India,2017,city,101.46989239578949
India,2017,large_city,201.11016080842109
India,2017,town,150.47459863578948
India,2018,city,103.27863028789473
India,2018,large_city,207.13592102421055
India,2018,town,153.45290467789474
India,2019,city,105.0710167041221
India,2019,large_city,213.2436497213558
India,2019,town,156.4208343539621
