n,y,area_type,value
Afghanistan,2011,city,2.142765261
Afghanistan,2011,large_city,3.9927302999999994
Afghanistan,2011,town,0.869294439
Afghanistan,2012,city,2.232526251536842
Afghanistan,2012,large_city,4.234829650526315
Afghanistan,2012,town,0.8941960979368421
Afghanistan,2013,city,2.31106882078
Afghanistan,2013,large_city,4.462647554
Afghanistan,2013,town,0.91352782522
Afghanistan,2014,city,2.3974125286021053
Afghanistan,2014,large_city,4.71259805431579
Afghanistan,2014,town,0.9348558170821053
Afghanistan,2015,city,2.472576802697369
Afghanistan,2015,large_city,4.947708967105263
Afghanistan,2015,town,0.9507267301973685
Afghanistan,2016,city,2.5371747488842105
Afghanistan,2016,large_city,5.168226012631577
Afghanistan,2016,town,0.9615272384842104
Afghanistan,2017,city,2.6107336373684213
Afghanistan,2017,large_city,5.413669105263158
Afghanistan,2017,town,0.974697257368421
Afghanistan,2018,city,2.689111277502631
Afghanistan,2018,large_city,5.676471142894735
Afghanistan,2018,town,0.9885330796026315
Afghanistan,2019,city,2.7707917620094737
Afghanistan,2019,large_city,5.954122834421053
Afghanistan,2019,town,1.0023712035694738
Afghanistan,2020,city,2.862326288927368
Afghanistan,2020,large_city,6.261555616105263
Afghanistan,2020,town,1.0184502949673684
Afghanistan,2025,city,3.6475975151176465
Afghanistan,2025,large_city,8.726378124428084
Afghanistan,2025,town,1.1829486747742701
Afghanistan,2030,city,4.3476389513177045
Afghanistan,2030,large_city,11.383032815095198
Afghanistan,2030,town,1.258929450147096
Afghanistan,2035,city,5.152674010346744
Afghanistan,2035,large_city,14.333252608186875
Afghanistan,2035,town,1.3624408115563813
Afghanistan,2040,city,5.97696641872992
Afghanistan,2040,large_city,17.675173343978997
Afghanistan,2040,town,1.41902810109108
Afghanistan,2045,city,6.793043695995595
Afghanistan,2045,large_city,21.37153960529857
Afghanistan,2045,town,1.4154023115758292
Afghanistan,2050,city,7.573309537506702
Afghanistan,2050,large_city,25.3700726924172
Afghanistan,2050,town,1.3404997868560977
Afghanistan,2055,city,8.630632194804361
Afghanistan,2055,large_city,28.912031797896002
Afghanistan,2055,town,1.52764924769964
Afghanistan,2060,city,9.681863457786253
Afghanistan,2060,large_city,32.4335851460472
Afghanistan,2060,town,1.7137205124465478
Afghanistan,2065,city,10.707029121856925
Afghanistan,2065,large_city,35.867820507805
Afghanistan,2065,town,1.8951780835880747
Afghanistan,2070,city,11.674619400442154
Afghanistan,2070,large_city,39.1091822377872
Afghanistan,2070,town,2.066444629050648
Afghanistan,2075,city,12.565598600102808
Afghanistan,2075,large_city,42.093902055573004
Afghanistan,2075,town,2.224150770774195
Afghanistan,2080,city,13.349406729439202
Afghanistan,2080,large_city,44.719606065120004
Afghanistan,2080,town,2.3628872934408
Afghanistan,2085,city,14.016155704608432
Afghanistan,2085,large_city,46.953169856995196
Afghanistan,2085,town,2.4809039748763677
Afghanistan,2090,city,14.590582361504776
Afghanistan,2090,large_city,48.8774601517136
Afghanistan,2090,town,2.5825793134216237
Afghanistan,2095,city,15.08148526507116
Afghanistan,2095,large_city,50.521951544375995
Afghanistan,2095,town,2.6694706829528396
Afghanistan,2100,city,15.48455860143579
Afghanistan,2100,large_city,51.872219850894
Afghanistan,2100,town,2.7408159407702097
Bangladesh,2011,city,14.070921750000002
Bangladesh,2011,large_city,15.947044650000004
Bangladesh,2011,town,16.8851061
Bangladesh,2012,city,14.469398337105263
Bangladesh,2012,large_city,16.799867803789475
Bangladesh,2012,town,17.38888755910526
Bangladesh,2013,city,14.873396218947368
Bangladesh,2013,large_city,17.688717646105264
Bangladesh,2013,town,17.901194734947367
Bangladesh,2014,city,15.277451699999999
Bangladesh,2014,large_city,18.60821144
Bangladesh,2014,town,18.41552286
Bangladesh,2015,city,15.674512642105265
Bangladesh,2015,large_city,19.55039213178948
Bangladesh,2015,town,18.923411626105267
Bangladesh,2016,city,16.079111306842105
Bangladesh,2016,large_city,20.53405774231579
Bangladesh,2016,town,19.442448350842103
Bangladesh,2017,city,16.48837654105263
Bangladesh,2017,large_city,21.557025625894735
Bangladesh,2017,town,19.969256033052627
Bangladesh,2018,city,16.88326464
Bangladesh,2018,large_city,22.595172864000002
Bangladesh,2018,town,20.480820096
Bangladesh,2019,city,17.270400357894736
Bangladesh,2019,large_city,23.65718992421053
Bangladesh,2019,town,20.985165717894738
Bangladesh,2020,city,17.660981597368416
Bangladesh,2020,large_city,24.75901420126316
Bangladesh,2020,town,21.495937601368418
Bangladesh,2025,city,19.12654720370263
Bangladesh,2025,large_city,30.066932204220535
Bangladesh,2025,town,23.48739996614683
Bangladesh,2030,city,20.5194876003
Bangladesh,2030,large_city,36.114298176528
Bangladesh,2030,town,25.444164624372
Bangladesh,2035,city,21.918545011391803
