mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,7.277445976556967
ldv_share,Afghanistan,city,02_05,2011,191.73022597656717
ldv_share,Afghanistan,city,06_10,2011,351.96202710002524
ldv_share,Afghanistan,city,11_20,2011,433.3586972774651
ldv_share,Afghanistan,city,21_30,2011,288.1439729153613
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,7.851045492286024
ldv_share,Afghanistan,city,02_05,2012,202.40983893398968
ldv_share,Afghanistan,city,06_10,2012,371.9905273737839
ldv_share,Afghanistan,city,11_20,2012,457.71276268781287
ldv_share,Afghanistan,city,21_30,2012,303.54089494460175
ldv_share,Afghanistan,city,00_01,2013,8.367730422280466
ldv_share,Afghanistan,city,02_05,2013,211.23703912275323
ldv_share,Afghanistan,city,06_10,2013,388.65227175223055
ldv_share,Afghanistan,city,11_20,2013,477.8970638821228
ldv_share,Afghanistan,city,21_30,2013,316.1018934728711
ldv_share,Afghanistan,city,00_01,2014,8.909549312359376
ldv_share,Afghanistan,city,02_05,2014,220.35813167258078
ldv_share,Afghanistan,city,06_10,2014,405.8887302279597
ldv_share,Afghanistan,city,11_20,2014,498.76353728882987
ldv_share,Afghanistan,city,21_30,2014,329.05030904316504
ldv_share,Afghanistan,city,00_01,2015,9.420819344211312
ldv_share,Afghanistan,city,02_05,2015,228.40917395431612
ldv_share,Afghanistan,city,06_10,2015,421.1862388341261
ldv_share,Afghanistan,city,11_20,2015,517.2243185399878
ldv_share,Afghanistan,city,21_30,2015,340.3515105500938
ldv_share,Afghanistan,city,00_01,2016,9.91638856246291
ldv_share,Afghanistan,city,02_05,2016,235.8083661232017
ldv_share,Afghanistan,city,06_10,2016,435.3099107768599
ldv_share,Afghanistan,city,11_20,2016,534.2233323270564
ldv_share,Afghanistan,city,21_30,2016,350.6379754746433
ldv_share,Afghanistan,city,00_01,2017,10.46299915490114
ldv_share,Afghanistan,city,02_05,2017,244.15264508826507
ldv_share,Afghanistan,city,06_10,2017,451.2067022145533
ldv_share,Afghanistan,city,11_20,2017,553.3779062994615
ldv_share,Afghanistan,city,21_30,2017,362.285892295219
ldv_share,Afghanistan,city,00_01,2018,11.031445672468521
ldv_share,Afghanistan,city,02_05,2018,252.72382388760914
ldv_share,Afghanistan,city,06_10,2018,467.5533262278685
ldv_share,Afghanistan,city,11_20,2018,573.0622653276649
ldv_share,Afghanistan,city,21_30,2018,374.2234772633336
ldv_share,Afghanistan,city,00_01,2019,11.655495514084768
ldv_share,Afghanistan,city,02_05,2019,262.2725008920137
ldv_share,Afghanistan,city,06_10,2019,485.74096020072136
ldv_share,Afghanistan,city,11_20,2019,594.9797091257318
ldv_share,Afghanistan,city,21_30,2019,387.55829099827645
ldv_share,Afghanistan,city,00_01,2020,12.273620854698992
ldv_share,Afghanistan,city,02_05,2020,271.39017947005794
ldv_share,Afghanistan,city,06_10,2020,503.1636883909278
ldv_share,Afghanistan,city,11_20,2020,615.9363505473056
ldv_share,Afghanistan,city,21_30,2020,400.20486834425714
ldv_share,Afghanistan,city,00_01,2025,17.58297351351278
ldv_share,Afghanistan,city,02_05,2025,358.3537082947022
ldv_share,Afghanistan,city,06_10,2025,667.8632075866142
ldv_share,Afghanistan,city,11_20,2025,815.067975531455
ldv_share,Afghanistan,city,21_30,2025,523.1024442647611
ldv_share,Afghanistan,city,00_01,2030,23.598662070978943
ldv_share,Afghanistan,city,02_05,2030,447.15263375760327
ldv_share,Afghanistan,city,06_10,2030,837.5357177454279
ldv_share,Afghanistan,city,11_20,2030,1019.1633840051777
ldv_share,Afghanistan,city,21_30,2030,646.2869561245438
ldv_share,Afghanistan,city,00_01,2035,33.84461937462116
ldv_share,Afghanistan,city,02_05,2035,600.5084018284265
ldv_share,Afghanistan,city,06_10,2035,1130.1996329510857
ldv_share,Afghanistan,city,11_20,2035,1371.4529051610177
ldv_share,Afghanistan,city,21_30,2035,859.5822723879494
ldv_share,Afghanistan,city,00_01,2040,47.29492077217637
ldv_share,Afghanistan,city,02_05,2040,790.5440721282566
ldv_share,Afghanistan,city,06_10,2040,1494.7619282573019
ldv_share,Afghanistan,city,11_20,2040,1808.9688436525073
ldv_share,Afghanistan,city,21_30,2040,1120.9682511686292
ldv_share,Afghanistan,city,00_01,2045,64.47112855847487
ldv_share,Afghanistan,city,02_05,2045,1020.4561369601255
ldv_share,Afghanistan,city,06_10,2045,1938.0986123900857
ldv_share,Afghanistan,city,11_20,2045,2339.4486208967487
ldv_share,Afghanistan,city,21_30,2045,1433.6951592176572
ldv_share,Afghanistan,city,00_01,2050,85.84962439550641
ldv_share,Afghanistan,city,02_05,2050,1292.4446247745116
ldv_share,Afghanistan,city,06_10,2050,2465.2379359020356
ldv_share,Afghanistan,city,11_20,2050,2968.3679756276697
ldv_share,Afghanistan,city,21_30,2050,1799.5442788476842
ldv_share,Afghanistan,city,00_01,2055,105.76587358938366
ldv_share,Afghanistan,city,02_05,2055,1592.2787754483654
ldv_share,Afghanistan,city,06_10,2055,3037.1483362018657
ldv_share,Afghanistan,city,11_20,2055,3656.9994835462944
ldv_share,Afghanistan,city,21_30,2055,2217.0204477337793
ldv_share,Afghanistan,city,00_01,2060,127.60723689709378
ldv_share,Afghanistan,city,02_05,2060,1921.0950376459498
ldv_share,Afghanistan,city,06_10,2060,3664.339867639751
ldv_share,Afghanistan,city,11_20,2060,4412.194440346235
ldv_share,Afghanistan,city,21_30,2060,2674.8500615425573
ldv_share,Afghanistan,city,00_01,2065,151.056810795394
ldv_share,Afghanistan,city,02_05,2065,2274.122508080607
ldv_share,Afghanistan,city,06_10,2065,4337.712402020395
ldv_share,Afghanistan,city,11_20,2065,5222.995474036867
ldv_share,Afghanistan,city,21_30,2065,3166.390319839963
ldv_share,Afghanistan,city,00_01,2070,175.55169652556205
ldv_share,Afghanistan,city,02_05,2070,2642.8868867175192
ldv_share,Afghanistan,city,06_10,2070,5041.101868925919
ldv_share,Afghanistan,city,11_20,2070,6069.939591498784
ldv_share,Afghanistan,city,21_30,2070,3679.8419719249823
ldv_share,Afghanistan,city,00_01,2075,200.60005943592705
ldv_share,Afghanistan,city,02_05,2075,3019.983725880825
ldv_share,Afghanistan,city,06_10,2075,5760.384858381911
ldv_share,Afghanistan,city,11_20,2075,6936.020938139126
ldv_share,Afghanistan,city,21_30,2075,4204.89538348315
ldv_share,Afghanistan,city,00_01,2080,225.45469793123783
ldv_share,Afghanistan,city,02_05,2080,3394.164092424859
ldv_share,Afghanistan,city,06_10,2080,6474.104902391536
