mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,3.493703989252726
ldv_share,Afghanistan,city,02_05,2011,92.04446965493949
ldv_share,Afghanistan,city,06_10,2011,168.96740176511682
ldv_share,Afghanistan,city,11_20,2011,208.04373049732285
ldv_share,Afghanistan,city,21_30,2011,138.33008872843632
ldv_share,Afghanistan,city,31_50,2011,207.45713461514063
ldv_share,Afghanistan,city,51+,2011,192.63964786656015
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,3.7928908730211184
ldv_share,Afghanistan,city,02_05,2012,97.78550276606057
ldv_share,Afghanistan,city,06_10,2012,179.71103052614134
ldv_share,Afghanistan,city,11_20,2012,221.12399702302463
ldv_share,Afghanistan,city,21_30,2012,146.6425702354214
ldv_share,Afghanistan,city,31_50,2012,220.63506206488654
ldv_share,Afghanistan,city,51+,2012,207.16247833689465
ldv_share,Afghanistan,city,No_travel,2012,0.0
ldv_share,Afghanistan,city,00_01,2013,4.045499814395583
ldv_share,Afghanistan,city,02_05,2013,102.12558954924823
ldv_share,Afghanistan,city,06_10,2013,187.89953952765742
ldv_share,Afghanistan,city,11_20,2013,231.0462199030103
ldv_share,Afghanistan,city,21_30,2013,152.8240140205285
ldv_share,Afghanistan,city,31_50,2013,230.67477124605026
ldv_share,Afghanistan,city,51+,2013,218.9568051622873
ldv_share,Afghanistan,city,No_travel,2013,0.0
ldv_share,Afghanistan,city,00_01,2014,4.2985007349684805
ldv_share,Afghanistan,city,02_05,2014,106.31397366384142
ldv_share,Afghanistan,city,06_10,2014,195.8250573662616
ldv_share,Afghanistan,city,11_20,2014,240.63343233730563
ldv_share,Afghanistan,city,21_30,2014,158.75359635773694
ldv_share,Afghanistan,city,31_50,2014,240.39059524519743
ldv_share,Afghanistan,city,51+,2014,230.62336964522737
ldv_share,Afghanistan,city,No_travel,2014,0.0
ldv_share,Afghanistan,city,00_01,2015,4.532822581200379
ldv_share,Afghanistan,city,02_05,2015,109.89896139868326
ldv_share,Afghanistan,city,06_10,2015,202.6535510896176
ldv_share,Afghanistan,city,11_20,2015,248.8622257749395
ldv_share,Afghanistan,city,21_30,2015,163.75996144274635
ldv_share,Afghanistan,city,31_50,2015,248.7588224436673
ldv_share,Afghanistan,city,51+,2015,241.15739669563195
ldv_share,Afghanistan,city,No_travel,2015,0.0
ldv_share,Afghanistan,city,00_01,2016,4.7640721066478315
