n,area_type,y,value
Afghanistan,large_city,2094,0.64
Afghanistan,large_city,2095,0.64
Afghanistan,large_city,2096,0.64
Afghanistan,large_city,2097,0.64
Afghanistan,large_city,2098,0.64
Afghanistan,large_city,2099,0.64
Afghanistan,large_city,2100,0.64
Afghanistan,town,2011,0.1241
Afghanistan,town,2012,0.12278421052631579
Afghanistan,town,2013,0.12146842105263159
Afghanistan,town,2014,0.12015263157894737
Afghanistan,town,2015,0.11883684210526316
Afghanistan,town,2016,0.11752105263157894
Afghanistan,town,2017,0.11620526315789474
Afghanistan,town,2018,0.11488947368421053
Afghanistan,town,2019,0.11357368421052631
Afghanistan,town,2020,0.1122578947368421
Afghanistan,town,2021,0.1109421052631579
Afghanistan,town,2022,0.10962631578947368
Afghanistan,town,2023,0.10831052631578947
Afghanistan,town,2024,0.10699473684210525
Afghanistan,town,2025,0.10567894736842105
Afghanistan,town,2026,0.10436315789473684
Afghanistan,town,2027,0.10304736842105262
Afghanistan,town,2028,0.10173157894736842
Afghanistan,town,2029,0.10041578947368421
Afghanistan,town,2030,0.0991
Afghanistan,town,2031,0.0986
Afghanistan,town,2032,0.09809999999999999
Afghanistan,town,2033,0.09759999999999999
Afghanistan,town,2034,0.09709999999999999
Afghanistan,town,2035,0.09659999999999999
Afghanistan,town,2036,0.09609999999999999
Afghanistan,town,2037,0.09559999999999999
Afghanistan,town,2038,0.09509999999999999
Afghanistan,town,2039,0.09459999999999999
Afghanistan,town,2040,0.09409999999999999
Afghanistan,town,2041,0.09359999999999999
Afghanistan,town,2042,0.0931
Afghanistan,town,2043,0.0926
Afghanistan,town,2044,0.0921
Afghanistan,town,2045,0.0916
Afghanistan,town,2046,0.0911
Afghanistan,town,2047,0.0906
Afghanistan,town,2048,0.0901
Afghanistan,town,2049,0.0896
Afghanistan,town,2050,0.0891
Afghanistan,town,2051,0.0891
Afghanistan,town,2052,0.0891
Afghanistan,town,2053,0.0891
Afghanistan,town,2054,0.0891
Afghanistan,town,2055,0.0891
Afghanistan,town,2056,0.0891
Afghanistan,town,2057,0.0891
Afghanistan,town,2058,0.0891
Afghanistan,town,2059,0.0891
Afghanistan,town,2060,0.0891
Afghanistan,town,2061,0.0891
Afghanistan,town,2062,0.0891
Afghanistan,town,2063,0.0891
